表650-80001：按居住國家／地區劃分的訪港旅客人次,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客,訪港旅客
,,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目,數目
居住國家／地區 ,,非洲,美洲,澳大利亞、新西蘭及南太平洋,歐洲,中東,北亞,南亞及東南亞,中國內地,台灣,澳門,未能辨別,總計
年,月,,,,,,,,,,,,
2007,1,17561,133976,64217,132874,12183,197308,184115,1210562,170109,43648,-,2166553
2007,2,10663,99911,37732,108048,10137,158017,141780,1481029,188537,50246,-,2286100
2007,3,20712,161509,61402,172908,14974,189943,240444,1086645,167096,47531,-,2163164
2007,4,24713,166246,65564,172034,24804,152301,242192,1089240,191523,48237,-,2176854
2007,5,19099,138816,59507,128329,13591,169469,253138,1212715,164907,42772,-,2202343
2007,6,17202,139487,65311,119155,12376,169439,253818,1019524,184015,54027,-,2034354
2007,7,18106,152006,63894,135112,16844,180126,229394,1390554,213244,55944,-,2455224
2007,8,19506,130494,56625,143178,18415,203029,217893,1685555,214495,69147,-,2758337
2007,9,19856,130979,73573,135115,12119,183503,202080,1136325,180339,46946,-,2120835
2007,10,22864,195126,76162,204581,21372,169995,284028,1359194,184984,49734,-,2568040
2007,11,21452,178258,60824,178334,15056,201712,272500,1291307,179909,48783,-,2448135
2007,12,19783,156801,72153,142558,13810,225725,366724,1523139,199573,69088,-,2789354
2008,1,20516,152900,73518,152902,14975,218810,204905,1441667,189166,49207,-,2518566
2008,2,10668,114029,47628,133833,10288,190683,169412,1442302,178018,55595,-,2352456
2008,3,23579,173739,66117,185955,17328,186925,264951,1269673,167130,49102,-,2404499
2008,4,25745,170594,69874,176810,22597,163433,252371,1305002,189671,43814,-,2419911
2008,5,17225,139616,62216,124719,12309,192586,278138,1290806,177028,47503,-,2342146
2008,6,16189,132075,61240,111290,12129,181123,252530,1145551,183886,51913,-,2147926
2008,7,15534,134311,61677,121396,14779,184375,222196,1660243,214586,80278,-,2709375
2008,8,14093,109931,47746,116425,13410,197233,188345,1699309,213552,79048,-,2679092
2008,9,14989,113862,69304,114375,10366,176044,212809,1249545,184262,49284,-,2194840
2008,10,20427,165300,79849,180235,17721,173939,269075,1373910,194925,57359,-,2532740
2008,11,16037,148176,57920,162152,13173,173456,262682,1363167,170969,53725,-,2421457
2008,12,15632,130201,66117,131342,12896,190510,358793,1620828,177288,80001,-,2783608
2009,1,11439,114427,63506,121095,9703,152597,189423,1892336,181764,59809,-,2796099
2009,2,10548,101017,42489,115827,10245,163234,176716,1345291,147184,49774,-,2162325
2009,3,16364,144507,56232,153217,13719,157141,261538,1438182,155980,48409,-,2445289
2009,4,18910,150172,66175,162626,19064,132031,262242,1406500,169760,52010,-,2439490
2009,5,14469,124192,53709,117294,12489,126952,219896,1167230,147975,43366,-,2027572
2009,6,13677,118063,54168,102251,11800,113809,218421,1012386,139903,41526,-,1826004
2009,7,14500,135945,56398,124420,16053,155121,201303,1432740,190293,51525,-,2378298
2009,8,15167,120562,49434,128769,14991,177252,199063,1855907,205646,67387,-,2834178
2009,9,14140,112111,64176,116508,12767,161555,251154,1326110,148138,44059,-,2250718
2009,10,19817,161670,72485,175893,22176,137039,253464,1686686,172774,59941,-,2761945
2009,11,16978,151713,60125,164000,18756,159099,276320,1544531,162302,52261,-,2606085
2009,12,16787,133428,69066,128621,13701,187354,375615,1848832,187925,101322,-,3062651
2010,1,14995,133757,73349,144091,13755,196965,238894,1907827,182068,54618,-,2960319
2010,2,8856,98684,42137,115160,9725,158979,176569,2009922,188561,57460,-,2866053
2010,3,20387,157271,67227,179004,17842,203588,299712,1631163,166395,55727,-,2798316
2010,4,21786,164396,65927,160430,23379,160788,303653,1660538,179246,56168,-,2796311
2010,5,17294,144926,57863,136061,15927,179804,326439,1713687,168761,54533,-,2815295
2010,6,14662,137219,61784,111942,14975,162647,324032,1564062,171108,57291,-,2619722
2010,7,15483,150305,62209,132352,23671,178965,279556,2011837,210059,72357,-,3136794
2010,8,16227,128431,51644,136322,15602,206749,238983,2369813,202778,88484,-,3455033
2010,9,17443,138108,75898,130528,16809,194557,302116,1626556,170003,56089,-,2728107
2010,10,23037,192500,78018,199821,24688,166339,292368,2035735,176936,69095,-,3258537
2010,11,17059,165448,62267,178783,20410,187879,319082,1878060,159507,63895,-,3052390
2010,12,17396,138513,70201,133327,14970,210382,399478,2275188,189328,94671,-,3543454
2011,1,14470,141504,71946,143205,14927,215919,243083,2503151,182703,67122,-,3598030
2011,2,8914,107691,42858,121715,11177,190027,208270,2008173,165779,58466,-,2923070
2011,3,18778,170788,65442,176988,17926,180496,324999,2009130,158922,63402,-,3186871
2011,4,21341,171679,72112,179957,21580,159448,327629,2136896,197775,69543,-,3357960
2011,5,15733,150615,59579,135314,14217,177978,335874,2115413,164192,61113,-,3230028
2011,6,14074,144106,58797,109883,14029,172703,347762,1924603,184330,64935,-,3035222
2011,7,16175,151001,62401,132946,21706,189009,295771,2677326,216518,76535,-,3839388
2011,8,14438,131941,51384,145843,12581,223352,286781,2914914,195320,89207,-,4065761
2011,9,17007,134624,67953,133812,16549,185881,304734,2094360,174058,58113,-,3187091
2011,10,20541,189463,76795,199860,22080,181354,310435,2542465,180869,70214,-,3794076
2011,11,15655,176851,60740,178692,18161,200829,335613,2343939,155883,66370,-,3552733
2011,12,16505,150833,67864,143128,14412,227687,430198,2829759,172384,98310,-,4151080
2012,1,10593,130596,69745,139746,11320,204309,227883,3101578,178187,68037,48,4142042
